permission,cve_id,cve_desc,url
ACCESS_FINE_LOCATION,CVE-2022-30757,"Improper authorization in isemtelephony prior to SMR Jul-2022 Release 1 allows attacker to obtain CID without ACCESS_FINE_LOCATION permission.

",https://cve.mitre.org/cgi-bin/cvekey.cgi?keyword=ACCESS_FINE_LOCATION
ACCESS_FINE_LOCATION,CVE-2014-1887,"The DrinkedIn BarFinder application for Android, when Adobe PhoneGap 2.9.0 or earlier is used, allows remote attackers to execute arbitrary JavaScript code, and consequently obtain sensitive fine-geolocation information, by leveraging control over one of a number of adult sites, as demonstrated by (1) freelifetimecheating.com and (2) www.babesroulette.com.

",https://cve.mitre.org/cgi-bin/cvekey.cgi?keyword=ACCESS_FINE_LOCATION
ACCESS_FINE_LOCATION,CVE-2021-33057,"The QQ application 8.7.1 for Android and iOS does not enforce the permission requirements (e.g., android.permission.ACCESS_FINE_LOCATION) for determining the device's physical location. An attacker can use qq.createMapContext to create a MapContext object, use MapContext.moveToLocation to move the center of the map to the device's location, and use MapContext.getCenterLocation to get the latitude and longitude of the current map center.

",https://cve.mitre.org/cgi-bin/cvekey.cgi?keyword=android.permission.ACCESS_FINE_LOCATION
ACTIVITY_RECOGNITION,CVE-2021-0306,"In addAllPermissions of PermissionManagerService.java, there is a possible permissions bypass when upgrading major Android versions which allows an app to gain the android.permission.ACTIVITY_RECOGNITION permission without user confirmation. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation. Product: Android; Versions: Android-11, Android-8.0, Android-8.1, Android-9, Android-10; Android ID: A-154505240.

",https://cve.mitre.org/cgi-bin/cvekey.cgi?keyword=android.permission.ACTIVITY_RECOGNITION
CALL_PHONE,CVE-2022-28777,"Improper access control vulnerability in Samsung Members prior to version 13.6.08.5 allows local attacker to execute call function without CALL_PHONE permission.

",https://cve.mitre.org/cgi-bin/cvekey.cgi?keyword=CALL_PHONE
CAMERA,CVE-2009-2348,"Android 1.5 CRBxx allows local users to bypass the (1) Manifest.permission.CAMERA (aka android.permission.CAMERA) and (2) Manifest.permission.AUDIO_RECORD (aka android.permission.RECORD_AUDIO) configuration settings by installing and executing an application that does not make a permission request before using the camera or microphone.

",https://cve.mitre.org/cgi-bin/cvekey.cgi?keyword=android.permission.CAMERA
GET_ACCOUNTS,CVE-2022-20303,"In ContentService, there is a possible way to determine if an account is on the device without GET_ACCOUNTS permission due to a missing permission check. This could lead to local information disclosure with User execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android-13Android ID: A-200573021

",https://cve.mitre.org/cgi-bin/cvekey.cgi?keyword=GET_ACCOUNTS
GET_ACCOUNTS,CVE-2016-2426,"server/content/ContentService.java in the Framework component in Android 4.x before 4.4.4, 5.0.x before 5.0.2, 5.1.x before 5.1.1, and 6.x before 2016-04-01 does not check for a GET_ACCOUNTS permission, which allows attackers to obtain sensitive information via a crafted application, aka internal bug 26094635.

",https://cve.mitre.org/cgi-bin/cvekey.cgi?keyword=GET_ACCOUNTS
READ_CALENDAR,CVE-2022-33705,"Information exposure in Calendar prior to version 12.3.05.10000 allows attacker to access calendar schedule without READ_CALENDAR permission.

",https://cve.mitre.org/cgi-bin/cvekey.cgi?keyword=READ_CALENDAR
READ_CONTACTS,CVE-2019-20468,"An issue was discovered in SeTracker2 for TK-Star Q90 Junior GPS horloge 3.1042.9.8656 devices. It has unnecessary permissions such as READ_EXTERNAL_STORAGE, WRITE_EXTERNAL_STORAGE, and READ_CONTACTS.

",https://cve.mitre.org/cgi-bin/cvekey.cgi?keyword=READ_CONTACTS
READ_EXTERNAL_STORAGE,CVE-2019-12370,"The Spark application through 2.0.2 for Android allows XSS via an event attribute and arbitrary file loading via a src attribute, if the application has the READ_EXTERNAL_STORAGE permission.

",https://cve.mitre.org/cgi-bin/cvekey.cgi?keyword=READ_EXTERNAL_STORAGE
READ_EXTERNAL_STORAGE,CVE-2019-12369,"The TypeApp application through 1.9.5.35 for Android allows XSS via an event attribute and arbitrary file loading via a src attribute, if the application has the READ_EXTERNAL_STORAGE permission.

",https://cve.mitre.org/cgi-bin/cvekey.cgi?keyword=READ_EXTERNAL_STORAGE
READ_EXTERNAL_STORAGE,CVE-2019-12368,"The Edison Mail application through 1.7.1 for Android allows XSS via an event attribute and arbitrary file loading via a src attribute, if the application has the READ_EXTERNAL_STORAGE permission.

",https://cve.mitre.org/cgi-bin/cvekey.cgi?keyword=READ_EXTERNAL_STORAGE
READ_EXTERNAL_STORAGE,CVE-2019-12367,"The BlueMail application through 1.9.5.36 for Android allows XSS via an event attribute and arbitrary file loading via a src attribute, if the application has the READ_EXTERNAL_STORAGE permission.

",https://cve.mitre.org/cgi-bin/cvekey.cgi?keyword=READ_EXTERNAL_STORAGE
READ_EXTERNAL_STORAGE,CVE-2019-12366,"The Nine application through 4.5.3a for Android allows XSS via an event attribute and arbitrary file loading via a src attribute, if the application has the READ_EXTERNAL_STORAGE permission.

",https://cve.mitre.org/cgi-bin/cvekey.cgi?keyword=READ_EXTERNAL_STORAGE
READ_EXTERNAL_STORAGE,CVE-2019-12365,"The Newton application through 10.0.23 for Android allows XSS via an event attribute and arbitrary file loading via a src attribute, if the application has the READ_EXTERNAL_STORAGE permission.

",https://cve.mitre.org/cgi-bin/cvekey.cgi?keyword=READ_EXTERNAL_STORAGE
READ_EXTERNAL_STORAGE,CVE-2018-6599,"An issue was discovered on Orbic Wonder Orbic/RC555L/RC555L:7.1.2/N2G47H/329100b:user/release-keys devices, allowing attackers to obtain sensitive information (such as text-message content) by reading a copy of the Android log on the SD card. The system-wide Android logs are not directly available to third-party apps since they tend to contain sensitive data. Third-party apps can read from the log but only the log messages that the app itself has written. Certain apps can leak data to the Android log due to not sanitizing log messages, which is in an insecure programming practice. Pre-installed system apps and apps that are signed with the framework key can read from the system-wide Android log. We found a pre-installed app on the Orbic Wonder that when started via an Intent will write the Android log to the SD card, also known as external storage, via com.ckt.mmitest.MmiMainActivity. Any app that requests the READ_EXTERNAL_STORAGE permission can read from the SD card. Therefore, a local app on the device can quickly start a specific component in the pre-installed system app to have the Android log written to the SD card. Therefore, any app co-located on the device with the READ_EXTERNAL_STORAGE permission can obtain the data contained within the Android log and continually monitor it and mine the log for relevant data. In addition, the default messaging app (com.android.mms) writes the body of sent and received text messages to the Android log, as well as the recipient phone number for sent text messages and the sending phone number for received text messages. In addition, any call data contains phone numbers for sent and received calls.

",https://cve.mitre.org/cgi-bin/cvekey.cgi?keyword=READ_EXTERNAL_STORAGE
READ_EXTERNAL_STORAGE,CVE-2018-15004,"The Coolpad Canvas device with a build fingerprint of Coolpad/cp3636a/cp3636a:7.0/NRD90M/093031423:user/release-keys contains a platform app with a package name of com.qualcomm.qti.modemtestmode (versionCode=24, versionName=7.0) that contains an exported service app component named com.qualcomm.qti.modemtestmode.MbnTestService that allows any app on the device to set certain system properties as the com.android.phone user. When an app sets the persist.service.logr.enable system property to a value of 1, an app with a package name of com.yulong.logredirect (versionCode=20160622, versionName=5.25_20160622_01) will start writing the system-wide logcat log, kernel log, and a tcpdump network traffic capture to external storage. Furthermore, on the Coolpad Canvas device, the com.android.phone app writes the destination phone number and body of the text message for outgoing text messages. A notification when logging can be avoided if the log is enabled after device startup and disabled prior to device shutdown by setting the system properties using the exported interface of the com.qualcomm.qti.modemtestmode app. Any app with the READ_EXTERNAL_STORAGE permission can access the log files.

",https://cve.mitre.org/cgi-bin/cvekey.cgi?keyword=READ_EXTERNAL_STORAGE
READ_EXTERNAL_STORAGE,CVE-2018-15002,"The Vivo V7 device with a build fingerprint of vivo/1718/1718:7.1.2/N2G47H/compil11021857:user/release-keys allows any app co-located on the device to set system properties as the com.android.phone user. The com.qualcomm.qti.modemtestmode app (versionCode=25, versionName=7.1.2) that contains an exported service named com.qualcomm.qti.modemtestmode.MbnTestService that allows any app co-located on the device to provide key-value pairs to set certain system properties. Notably, system properties with the persist.* prefix can be set which will survive a reboot. On the Vivo V7 device, when the persist.sys.input.log property is set to have a value of yes, the user's screen touches be written to the logcat log by the InputDispatcher for all apps. The system-wide logcat log can be obtained from external storage via a different known vulnerability on the device. The READ_EXTERNAL_STORAGE permission is necessary to access the log files containing the user's touch coordinates. With some effort, the user's touch coordinates can be mapped to key presses on a keyboard.

",https://cve.mitre.org/cgi-bin/cvekey.cgi?keyword=READ_EXTERNAL_STORAGE
READ_EXTERNAL_STORAGE,CVE-2018-15001,"The Vivo V7 Android device with a build fingerprint of vivo/1718/1718:7.1.2/N2G47H/compil11021857:user/release-keys contains a platform app with a package name of com.vivo.bsptest (versionCode=1, versionName=1.0) containing an exported activity app component named com.vivo.bsptest.BSPTestActivity that allows any app co-located on the device to initiate the writing of the logcat log, bluetooth log, and kernel log to external storage. When logging is enabled, there is a notification in the status bar, so it is not completely transparent to the user. The user can cancel the logging, but it can be re-enabled since the app with a package name of com.vivo.bsptest cannot be disabled. The writing of these logs can be initiated by an app co-located on the device, although the READ_EXTERNAL_STORAGE permission is necessary to for an app to access the log files.

",https://cve.mitre.org/cgi-bin/cvekey.cgi?keyword=READ_EXTERNAL_STORAGE
